[
["Train"	"Gilroy"	"SMartin"	"Morgan"	"Blossom"	"Capitol"	"Tamien"	"SanJose"	"College"	"SClara"	"Lawrenc"	"Sunny"	"MView"	"Castro"	"Calif"	"PA"	"Menlo"	"Athertn"	"Redwood"	"SCarlos"	"Belmont"	"Hillsd"	"HaywrdP"	"SMateo"	"Burling"	"Bway"	"Millbr"	"SBruno"	"SSF"	"Baysh"	"Paul"	"22nd"	"SF"]
["23"	" --"	" --"	" --"	" --"	" --"	"4:38a"	"4:45a"	" --"	"4:51a"	"4:56a"	"5:00a"	"5:04a"	" --"	"5:10a"	"5:13a"	"5:16a"	"5:18a"	"5:23a"	"5:27a"	"5:30a"	"5:33a"	"5:36a"	"5:38a"	"5:41a"	"5:44a"	"5:47a"	"5:51a"	"5:55a"	"6:00a"	" --"	"6:06a"	"6:14a"]
["25"	" --"	" --"	" --"	" --"	" --"	"5:28a"	"5:35a"	" --"	"5:41a"	"5:46a"	"5:50a"	"5:54a"	" --"	"6:00a"	"6:03a"	"6:06a"	"6:08a"	"6:13a"	"6:17a"	"6:20a"	"6:23a"	"6:26a"	"6:28a"	"6:31a"	"6:34a"	"6:37a"	"6:41a"	"6:45a"	"6:50a"	" --"	"6:56a"	"7:04a"]
["27"	" --"	" --"	" --"	" --"	" --"	"5:43a"	"5:50a"	" --"	"5:56a"	"6:01a"	"6:05a"	"6:09a"	" --"	"6:15a"	"6:18a"	"6:21a"	"6:24a"	"6:29a"	"6:33a"	"6:36a"	"6:39a"	" --"	" --"	" --"	" --"	" --"	" --"	" --"	" --"	" --"	" --"	"7:09a"]
["29"	" --"	" --"	" --"	" --"	" --"	" --"	"6:05a"	" --"	"6:11a"	"6:16a"	"6:20a"	" --"	" --"	" --"	"6:31a"	"6:34a"	" --"	" --"	" --"	"6:45a"	" --"	" --"	"6:51a"	"6:54a"	"6:57a"	"7:00a"	"7:04a"	"7:08a"	"7:13a"	"7:16a"	"7:20a"	"7:28a"]
["31"	"5:23a"	"5:32a"	"5:37a"	"5:49a"	"5:55a"	"6:01a"	"6:10a"	" --"	"6:16a"	"6:21a"	"6:25a"	"6:29a"	"6:32a"	"6:36a"	"6:39a"	"6:42a"	"6:45a"	"6:50a"	"6:54a"	"6:57a"	"7:00a"	"7:03a"	"7:05a"	"7:08a"	"7:11a"	"7:14a"	"7:18a"	"7:22a"	"7:27a"	"7:30a"	"7:34a"	"7:42a"]
["33"	" --"	" --"	" --"	" --"	" --"	" --"	"6:27a"	" --"	"6:33a"	"6:38a"	"6:42a"	"6:46a"	" --"	"6:52a"	"6:55a"	"6:58a"	"7:01a"	" --"	"7:08a"	"7:11a"	"7:14a"	" --"	" --"	" --"	" --"	"7:23a"	"7:27a"	"7:31a"	" --"	" --"	" --"	"7:47a"]
["35"	" --"	" --"	" --"	" --"	" --"	" --"	"6:35a"	" --"	"6:41a"	"6:46a"	"6:50a"	"6:54a"	"6:57a"	"7:01a"	"7:04a"	" --"	" --"	"7:11a"	" --"	" --"	" --"	"7:22a"	"7:24a"	"7:27a"	"7:30a"	" --"	" --"	" --"	" --"	" --"	" --"	"7:54a"]
["37"	"6:03a"	"6:12a"	"6:17a"	"6:29a"	"6:35a"	"6:41a"	"6:50a"	" --"	"6:56a"	"7:01a"	"7:05a"	"7:09a"	" --"	"7:15a"	"7:18a"	"7:21a"	" --"	" --"	" --"	" --"	"7:32a"	" --"	" --"	" --"	" --"	" --"	" --"	" --"	" --"	" --"	" --"	"7:59a"]
["39"	" --"	" --"	" --"	" --"	" --"	" --"	"7:00a"	" --"	"7:06a"	"7:11a"	"7:15a"	"7:19a"	"7:22a"	"7:26a"	"7:29a"	"7:32a"	"7:35a"	"7:40a"	"7:44a"	"7:47a"	"7:50a"	" --"	"7:54a"	"7:57a"	" --"	"8:01a"	"8:05a"	"8:09a"	" --"	" --"	" --"	"8:26a"]
["41"	"6:23a"	"6:32a"	"6:37a"	"6:49a"	"6:55a"	"7:01a"	"7:10a"	"7:13a"	"7:17a"	"7:22a"	"7:26a"	"7:30a"	"7:33a"	"7:37a"	"7:40a"	"7:43a"	"7:46a"	"7:51a"	"7:55a"	"7:58a"	"8:01a"	"8:04a"	"8:06a"	"8:09a"	"8:12a"	"8:15a"	"8:19a"	"8:23a"	"8:28a"	"8:31a"	"8:35a"	"8:43a"]
