[
["Train"	"SF"	"22nd"	"Paul"	"Baysh"	"SSF"	"SBruno"	"Millbr"	"Bway"	"Burling"	"SMateo"	"HaywrdP"	"Hillsd"	"Belmont"	"SCarlos"	"Redwood"	"Athertn"	"Menlo"	"PA"	"Calif"	"Castro"	"MView"	"Sunny"	"Lawrenc"	"SClara"	"College"	"SanJose"	"Tamien"	"Capitol"	"Blossom"	"Morgan"	"SMartin"	"Gilroy"]
["22"	"5:00a"	"5:05a"	" --"	"5:10a"	"5:16a"	"5:20a"	"5:24a"	"5:27a"	"5:29a"	"5:32a"	"5:35a"	"5:38a"	"5:41a"	"5:44a"	"5:49a"	"5:53a"	"5:56a"	"5:59a"	"6:02a"	" --"	"6:08a"	"6:12a"	"6:16a"	"6:21a"	" --"	"6:29a"	"6:35a"	" --"	" --"	" --"	" --"	" --"]
["24"	"6:00a"	"6:05a"	"6:08a"	"6:11a"	"6:17a"	"6:21a"	"6:25a"	"6:28a"	"6:30a"	"6:33a"	"6:36a"	"6:39a"	"6:42a"	"6:45a"	"6:50a"	"6:54a"	"6:57a"	"7:00a"	"7:03a"	"7:07a"	"7:10a"	"7:14a"	"7:18a"	"7:23a"	"7:26a"	"7:32a"	"7:38a"	" --"	" --"	" --"	" --"	" --"]
["26"	"6:30a"	"6:35a"	" --"	"6:40a"	"6:46a"	"6:50a"	"6:54a"	"6:57a"	"6:59a"	"7:02a"	"7:05a"	"7:08a"	"7:11a"	"7:14a"	"7:19a"	"7:23a"	"7:26a"	"7:29a"	"7:32a"	"7:36a"	"7:39a"	"7:43a"	"7:47a"	"7:52a"	"7:55a"	"8:01a"	"8:07a"	" --"	" --"	" --"	" --"	" --"]
["28"	"6:55a"	"7:00a"	" --"	"7:05a"	" --"	"7:11a"	" --"	" --"	" --"	"7:20a"	" --"	" --"	" --"	"7:28a"	"7:33a"	" --"	"7:39a"	"7:42a"	"7:45a"	"7:49a"	"7:52a"	"7:56a"	"8:00a"	"8:05a"	"8:08a"	"8:14a"	" --"	" --"	" --"	" --"	" --"	" --"]
["30"	"7:00a"	"7:05a"	" --"	"7:10a"	"7:16a"	"7:20a"	"7:24a"	"7:27a"	"7:29a"	"7:32a"	"7:35a"	"7:38a"	"7:41a"	"7:44a"	"7:49a"	"7:53a"	"7:56a"	"7:59a"	"8:02a"	" --"	"8:08a"	"8:12a"	"8:16a"	"8:21a"	"8:24a"	"8:30a"	"8:36a"	" --"	" --"	" --"	" --"	" --"]
["32"	"7:25a"	"7:30a"	" --"	"7:35a"	" --"	"7:41a"	" --"	" --"	" --"	"7:50a"	" --"	"7:54a"	" --"	"7:59a"	"8:04a"	" --"	"8:10a"	"8:13a"	"8:16a"	"8:20a"	"8:23a"	"8:27a"	"8:32a"	"8:37a"	" --"	"8:45a"	" --"	" --"	" --"	" --"	" --"	" --"]
["34"	"7:30a"	"7:35a"	" --"	"7:40a"	"7:46a"	"7:50a"	"7:54a"	"7:57a"	"7:59a"	"8:02a"	"8:05a"	"8:08a"	"8:11a"	"8:14a"	"8:19a"	"8:23a"	"8:26a"	"8:29a"	"8:32a"	"8:36a"	"8:39a"	"8:43a"	"8:47a"	"8:52a"	" --"	"9:01a"	"9:07a"	" --"	" --"	" --"	" --"	" --"]
["36"	"8:00a"	"8:05a"	"8:08a"	"8:11a"	"8:17a"	"8:21a"	"8:25a"	"8:28a"	"8:30a"	"8:33a"	"8:36a"	"8:39a"	"8:42a"	"8:45a"	"8:50a"	"8:54a"	"8:57a"	"9:00a"	"9:03a"	" --"	"9:09a"	"9:13a"	"9:17a"	"9:22a"	" --"	"9:30a"	"9:36a"	" --"	" --"	" --"	" --"	" --"]
["38"	"9:00a"	"9:05a"	" --"	"9:10a"	"9:16a"	"9:20a"	"9:24a"	"9:27a"	"9:29a"	"9:32a"	"9:35a"	"9:38a"	"9:41a"	"9:44a"	"9:49a"	"9:53a"	"9:56a"	"9:59a"	"10:02a"	" --"	"10:08a"	"10:12a"	"10:16a"	"10:21a"	" --"	"10:29a"	"10:35a"	" --"	" --"	" --"	" --"	" --"]
["40"	"10:00a"	"10:05a"	" --"	"10:10a"	"10:16a"	"10:20a"	"10:24a"	"10:27a"	"10:29a"	"10:32a"	"10:35a"	"10:38a"	"10:41a"	"10:44a"	"10:49a"	"10:53a"	"10:56a"	"10:59a"	"11:02a"	" --"	"11:08a"	"11:12a"	"11:16a"	"11:21a"	" --"	"11:29a"	"11:35a"	" --"	" --"	" --"	" --"	" --"]
